date,message
2024-10-30T22:10:32,Сол маганда керек еды  тоже сол багага
2024-10-30T22:10:16,Блогостройка болса
2024-10-30T22:10:09,Кв керек 50-60
2024-10-30T10:30:55,Благоустроенная времянка в частном секторе. Есть душ туалет стиралка.
2024-10-30T10:30:18,Есть 1 комнатная в центре пишите в личку. 70 тысяч аренда
2024-10-29T13:24:05,Здравствуйте хочу снять квартиру однакомнатную Талдыкорган
2024-10-22T08:56:08,Срочно нужна квартира
2024-10-17T22:09:21,Салеметсыздер ма узак уакытка квартира ыздимын военный гарадок или отенай барма
2024-10-16T13:27:21,Квартиры есть в центр ?
2024-10-16T13:27:08,Здравствуйте
2024-10-14T19:23:15,"Добрый вечер квартира нада районе восток, Каратал,9 плошад,1,2 комнатный"
2024-10-08T15:17:57,Можно фото
2024-10-08T15:17:53,Здравствуйте
2024-10-07T19:19:03,Сколько просите?
2024-10-07T19:18:53,Где это?
2024-10-07T18:37:15,?
2024-10-07T17:28:43,"Есть 1ком квартира?
В районе Алым кафе"
2024-10-07T17:27:55,Здравствуйте
2024-10-06T17:22:07,"Здравствуйте,есть квартира ?Центр"
2024-09-27T13:27:36,Как снять квартиру?
2024-09-27T13:16:11,"А где те, кто сдает квартиры?!"
2024-09-27T13:16:08,И за это я заплатила 6000?
2024-09-27T12:57:01,"Здравствуйте 
Сниму на долгий срок 1комнатную
Шевченко или 2 мкрн
2, 3 этаж"
2024-09-26T17:45:39,Здравствуйте хочу снять квартиру однакомнатную Талдыкорган
