date,message
2024-10-27T18:50:36,Микрдан
2024-10-27T18:50:31,50 Ден 70 колеминде
2024-10-27T18:50:04,1 2 болмели кв керек еди узак мерзимге семейный Ге
2024-10-27T18:48:22,Ассалаумагалеикум
2024-10-25T11:11:46,"Жас отбасы, 2 кишкентай балапандарымен"
2024-10-25T11:11:31,Квартира барма узак мерзимге
2024-10-25T11:11:25,Саламатсыздарма
2024-10-23T21:18:10,"Здравствуйте срочно нужна 1 комнатная квартира в пределах 40.45, тысяч 
Нас 2 ждём ответа))"
2024-10-11T08:47:51,Номер жазыңыздаршы
2024-10-11T08:47:32,Сәлеметсіздерме маған залинииден квартира керек еді срочно
2024-10-10T01:29:06,"КВ керек 2 ком 
10 мкр 17-18-19кв"
2024-10-10T01:27:44,15мкр кв барма
2024-10-08T19:58:35,Саляматсызба маган чайкада квартира надо помогите
2024-10-02T10:20:46,Квартира 1 ком срочно нужна
2024-09-29T11:02:05,Саламатсыздарма кв барма ұзақ мерзімге
2024-09-27T15:49:02,25 мын. 30 мын шамасы
2024-09-27T15:22:44,Срочно сниму квартиру одну комнату шестом мик. Одному
2024-09-27T14:16:23,Грант базарға жақын жерден болсада болады
2024-09-27T14:15:18,6 мкр бір бөлмелі квартира керек маған тез арада жалғыз тұрамын
2024-09-24T19:41:25,15 мкр 2/3 ком 90000 мыңға барма
2024-09-22T21:04:39,30мыңнан 50мың арасы
2024-09-22T21:04:18,Маған ертеңге квартира керек еді
2024-09-22T21:03:59,Сәлеметсіздерме
2024-09-22T16:01:17,1 бөлме болсада
2024-09-22T16:01:09,Кв керек
2024-09-22T16:01:09,Саламатсыздарма
2024-09-21T21:28:45,Рахмет
2024-09-21T21:27:25,Деп іздеңіз
2024-09-21T21:27:22,Аренда тараз
2024-09-21T21:27:18,Инста
2024-09-21T21:24:33,Ким билет аиталасыздарма
2024-09-21T21:24:10,Крыша дан баска кайжерден кв издесе болады
2024-09-21T21:23:48,Саламатсыздарма
2024-09-21T21:17:53,"Саламатсыздарма ұзақ мерзімге кв керек жас отбасымыз. Мкр 11/9, қала ішінде болса"
2024-09-21T15:00:44,"Сәлеметсіздер ме 
2 болмелі кв керек,ұзақ мерзімге.7, 9,10,11 мик болса 70-80 мыңға"
2024-09-21T14:17:34,Квартира бармакен 8 6 7 мкр
2024-09-21T14:17:15,Калайсыздар
2024-09-21T14:17:11,Ассалаумагаликум
2024-09-20T15:56:54,?
2024-09-20T15:16:19,Квартира керек 15 мкр 50-60 мыңға 1 бөлеме керек
2024-09-20T15:15:24,Саламатсызба
2024-09-19T11:59:23,"Сниму квартиру в районе сахзавода,на длительный срок.Желательно с телевизором,холодильником,стиральной машиной и мебелью.Чистоту и порядочность гарантируем."
2024-09-19T11:45:18,Подселение в 2х комнатную кв . Проживание с ХОЗЯИНОМ отдельная комната . Остановка на все направления все рядом. В центре микрораенов . ДЛЯ неприхотливой чесной порядочной девушки словянской  40 ЛЕТ
2024-09-18T18:40:35,Мынга
2024-09-18T18:40:30,20000
2024-09-18T18:40:18,Квартира керек еди
2024-09-18T18:40:16,Саламатсыз ба
2024-09-08T22:21:26,"Здравствуйте,помогу с поиском квартиры по вашему запросу ) обр:87002680105"
2024-09-04T21:54:05,Сниму 1-2комн.кв в 15 мкр на долгий срок
2024-08-31T20:44:49,Квартира керек мкрнан 50-60 мың шамасында
2024-08-24T22:59:13,87086931028
2024-08-24T22:58:35,Поселениеге 2 кыз керек. Артык кылыгы жок
2024-07-13T08:36:12,Квартира өзимиз туруға
2024-07-13T08:35:46,Мм
2024-07-13T08:35:41,Жок жеке туруға
2024-07-13T08:35:30,Или просто квартира ма?
2024-07-13T08:35:18,Поселение керекпе
2024-07-13T08:35:13,Салпм
2024-07-13T08:35:03,Саламатсызба
2024-07-13T08:35:00,Микраион дардан
2024-07-13T08:34:41,Саламатсыздарма ищу квартира
2024-07-01T08:27:19,Поселениеге 3 кыз керек.барлык жагдайы жасалган патер
2024-05-11T20:53:14,Поселение 3 комнат квартира
2024-04-06T07:46:24,Подселение в 2х комнатную кв . Проживание с ХОЗЯИНОМ отдельная комната астановка на все направления все рядом . ДЛЯ 1 ДЕВУШКИ ДО 40 ЛЕТ в центре микрораенов
